name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kyiv,2023-10-20,13.1,7.1,10.4,13.1,6.5,10.3,9.4,93.9,7,100,8.33,rain,0,0,18.7,6.8,161.9,1002.8,100,3.3,,,,,2023-10-20T07:27:50,2023-10-20T17:56:54,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"33345099999,remote"
Kyiv,2023-10-21,13.4,8.9,11.5,13.4,7.9,11.3,10.8,95.2,0.3,100,4.17,rain,0,0,27.7,11.2,77.6,1007.7,99,0.6,,,,,2023-10-21T07:29:29,2023-10-21T17:54:55,0.23,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"33345099999,remote"
Kyiv,2023-10-22,15.2,9.2,11.9,15.2,8.2,11.5,11,94.5,0,0,0,,0,0,33.1,13,137.8,1012.2,96.2,1.3,,,,,2023-10-22T07:31:09,2023-10-22T17:52:56,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"33345099999,remote"
Kyiv,2023-10-23,16.6,11.7,14.3,16.6,11.7,14.3,9.7,74.3,0,0,0,,0,0,56.2,20.2,266.6,1011,52.8,18,,,,,2023-10-23T07:32:49,2023-10-23T17:50:59,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33345099999,remote"
Kyiv,2023-10-24,14.7,7.7,10.6,14.7,7,10.3,6.6,77.3,0,0,0,,0,0,26.3,10.1,286.2,1015.6,58.7,18.8,,,,,2023-10-24T07:34:29,2023-10-24T17:49:03,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33345099999,remote"
Kyiv,2023-10-25,11.2,6.7,9,11.2,5.7,8.2,7.8,92.3,26,100,8.33,rain,0,0,39.2,15.5,116.3,1006.6,99.6,5,,,,,2023-10-25T07:36:09,2023-10-25T17:47:08,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"33345099999,remote"
Kyiv,2023-10-26,14.7,10.4,12.4,14.7,10.4,12.4,10.6,89.2,3,100,4.17,rain,0,0,31.7,11.5,242,1000.2,97.1,14.4,,,,,2023-10-26T07:37:50,2023-10-26T17:45:14,0.41,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"33345099999,remote"
Kyiv,2023-10-27,17.7,11.1,13.5,17.7,11.1,13.5,11,85.6,3,100,4.17,rain,0,0,25.6,14.4,204.7,997.5,89.5,11.7,,,,,2023-10-27T07:39:30,2023-10-27T17:43:22,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"33345099999,remote"
Kyiv,2023-10-28,15.2,9.5,11.9,15.2,7.5,11.5,8.1,78.1,7,100,8.33,rain,0,0,86,39.6,256.7,994,90.4,14.3,,,,,2023-10-28T07:41:11,2023-10-28T17:41:31,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"33345099999,remote"
Kyiv,2023-10-29,13.4,8.2,9.6,13.4,7.7,9.5,7.3,85.8,0.2,100,8.33,rain,0,0,27.4,9.7,271,1012.8,76.1,18.9,,,,,2023-10-29T06:42:52,2023-10-29T16:39:41,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"33345099999,remote"
